Subject,Class
"Summer Internship at ‎EXPIA for Business Analyst
",Ham
"New Reviews and Salaries at Oracle
",Ham
"Data Mining - Week 8 is live now!!
",Ham
"User Agreement Update
",Ham
"Paid ₹ 1 on DREAM11
",Ham
"Solution for Week 10 Assignment - Introduction to Automata, Languages and Computation
",Ham
"Prepare for Aptitude for campus drive
",Ham
"Castrol India Limited - Notice of 40th Annual General Meeting - 15 May 2019 - Yashwantrao Chavan Pratishthan Auditorium, General Jagannath Bhosale Marg, Opp. Mantralaya,Mumbai - 400 021",Ham
Failed Payment on BookMyShow,Ham
"What went wrong at e-comm unicorn Paytm Mall| New players will expand market more: Flipkart CEO| Arvind Fashions rejigs biz, may exit global ventures",Ham
13 foreign currencies are just a click away! Apply for a Kotak Forex Card,Ham
How can centre based mock tests help you crack GATE2019?,Ham
Hey Param - tell us who you are.,Ham
SCEPTER BLACK GOLD,Ham
"Motilal Oswal Invites you for an Exclusive FREE Trading Webinar on ""HOW TO MAKE PROFIT IN BEARISH TREND"" Today @ 11:00 AM, 1:00 PM",Ham
Artificial Intelligence Easter Course Sale!,Ham
"Your quiz has been graded
",Ham
"New announcement: ""Dear all can refer sample questions""
",Ham
"Registration ENDS Today: Network Engineer Career Path
",Ham
"Your Cashback for Amazon Pay UPI Offer is here
",Ham
"Take action today to advance your career
",Ham
"“Why Technology’s Early Adopters Are Opting Out” published in The Startup by Jesse Weaver
",Ham
DBMS,Ham
"2 students selected from IT for Internship- Infostretch
",Ham
"INS PLAYLIST
",Ham
"One Month Free: Google IT Support Professional Certificate
",Ham
"Python Practicals
",Ham
How can centre based mock tests help you crack GATE2019?,spam
"You have missed 24,000 job opportunities already!",spam
"Canada USA Edu Fair, Feb 1 @Mahatma Mandir",spam
"Trip Ideas: Botswana, Tanzania, Kenya & More!",spam
"
$ 100 GIVEAWAY ",spam
"$1,000 Cash Tournament, New Tournament Design & Free Coins",spam
"NEET 2019 online study material with mock test series, get now",spam
WWE ke agle Superstar banane ka aakhri mauka !,spam
Congratulations paramshah55 @gmail.com! You are selected for a special offer,spam
All Purpose Loan for your every need @ just 10.99%,spam
4 Giveaways LIVE 4 Days LEFT! Have Some Free Coins! ,spam
Loan declines because of poor credit report .,spam
Maintain a Credit Score of 750+ and be Credit Confident!,spam
Himachal Car Packages ! Starting @ 9750/- Per Person,spam
Go Goa ! Starting @ 6900/- Per Person,spam
Goa Best Deal Guaranteed,spam
B2b Himachal volvo Packages in Just 7499 for Couple with transfer from delhi + Breakfast & dinner + Sightseeing,spam
Kashmir Tour Starting @ 6050/- Per Person,spam
Kashmir Tour Packages Ex Srinagar,spam
B2b Himachal volvo Packages in Just 7499 for Couple with transfer from delhi + Breakfast & dinner + Sightseeing,spam
Kerala Package 6 Days @ 9999/- PP only,spam
"Shimla Manali Package by Private Car Ex Delhi Just @ INR 6,799/- per Person including all taxes",spam
"Get Amazon Rs 1,000 Voucher on Disbursal",spam
Loan Up To 30 lakhs,spam
"Congrats Customer paramshah55@gmail.com, Loan Amount Will be Credited in Your Account.",spam
A special offer on HDFC Bank Car Loans for you,spam
"GET AN ONLINE CASH LOAN OF 10,000/",spam
Pre Approved eLoan of 20 Lac,spam
Check your loan eligibility in minutes with Fullerton India's Personal Loans,spam
Your Car is Approved @ 1299 EMI Loan,spam
No Annual fee or joining fee on your Platinum Rewards Credit Card!,spam
Check your new credit card with limit up to 5 Lac !,spam
Get amazing deals with ICICI Bank Platinum Chip Credit Card,spam
Exclusive Citi Offer for you,spam
Exculsive offer,spam
Get amazing deals,spam
Platinum Reward,spam
"Movies, Dining and much more fun on RBL CreditCard. Easy to Appl",spam
Apply now for the Axis Bank Vistara Credit Cards,spam
Earn 10 Points for Every Rs 125 Spent,spam
Kindly Update Your ATM Card Details to Avoid Your ATM Card Been Block,spam
WrestleMania Special Offer!,spam
"Trip Ideas: Botswana, Tanzania, Kenya & More!",spam
last chance to get 3 months for $9.99,spam
"Meals, with a side of deals! ",spam
Swiggy Match Day Mania is back! Big offers inside ,spam
Get 40-60% off on India’s largest food fest!,spam
Have an edge over your competition. - IEO 2019,spam
Your coupon is waiting! ,spam
[Webinar] Explore UK universities for your MS | Kent university,spam
[Webinar] Stanford student chats with study abroad aspirants,spam
What's it like studying at world's best university?,spam
"India Hill Station Trips, Wildebeest Migration Safaris & More",spam
The HALF PRICE SALE is On!,spam
Watch OOOUUUTT! It's Minimum 70% Off,spam
For 24 Hrs Only! WEDNESDAY only WONDERS,spam
You're in for a T-U-E-S-D-A-Y Treat!,spam
"Just Pay Half today, 'coz it's MINIMUM 50% Off!",spam
Wednesdays = WOW! Offers from ₹199,spam
Save 20% on edX courses. Hurry - limited time offer,spam
Breaking news : Offers up to 90% Off!,spam
Saturday Happy Hours | 50% OFF on EVERYTHING!,spam
"MS in Canada: Universities, Top Courses, PR & Jobs!",spam
Top 20 MS Universities: How to make it in time before Deadlines?,spam
[Join LIVE]: 6.5 GPA & 5 Backlogs to MS Admits for Fall 2019!,spam
"6.5 GPA & 5 Backlogs - Yet, Admits from TAMU & Cornell [REVEALED]",spam
Last Call for MS in Canada!,spam
Download for FREE 'MS/PhD in Germany' eBook,spam
MS/PhD in Germany: Application Process & Funding Opportunities,spam
Session 4: Shortlisting Universities for your MS,spam
